key,value
7393,4
7584,10
6495,9
3420,5
5355,11
7562,4
8266,15
3701,10
6243,9
288,11
8639,15
890,9
231,7
461,9
7037,9
5483,15
842,13
1348,10
1851,15
4324,12
1942,8
8859,12
931,14
6626,6
9750,11
1623,14
9722,5
2450,10
523,10
1816,14
4616,3
651,13
1429,7
3783,5
8502,7
2637,10
9435,11
1683,6
6730,5
499,3
1356,8
6961,13
2988,11
8594,13
2955,11
2666,6
6245,15
8565,7
8377,7
4854,13
7577,2
3771,7
5820,9
3378,9
2969,11
8274,3
5316,10
6197,6
5709,13
2381,12
9322,15
8364,14
6532,11
5335,15
7260,11
9146,1
9987,4
515,13
635,6
2345,12
3612,3
8059,10
5343,3
4110,9
4278,4
7752,5
2003,9
6243,2
4862,3
3324,5
6804,1
2474,14
4815,7
2352,15
7571,5
4992,4
9477,14
1237,14
6155,7
9607,1
2441,3
5561,8
9504,12
1706,15
1768,13
2933,8
1939,15
2056,10
8761,2
4898,10
3502,12
8330,9
9604,3
7498,3
2360,11
9494,14
4903,7
7080,12
6807,11
5364,11
2365,11
6042,14
4824,4
2117,1
1825,15
7661,8
8078,6
6087,14
1018,13
6452,14
3301,15
4435,12
9986,3
3432,1
7448,4
5842,10
588,9
6787,12
1680,3
9936,5
944,9
1204,14
1252,1
6613,4
2620,15
8856,13
4075,10
3673,11
2665,9
6241,11
8125,9
5441,3
7361,7
3530,3
8724,9
1416,6
8323,7
892,12
1744,13
3447,9
1108,5
8301,2
5347,11
7848,13
98,2
5176,2
3689,11
1374,12
6071,8
2252,2
9457,8
2568,13
4033,11
7852,6
1540,12
4180,3
8710,3
4782,6
1677,12
5137,1
4965,5
1513,6
6328,15
6835,10
67,4
6704,2
2959,13
1969,3
3086,8
7701,13
5344,14
3789,3
128,10
1601,5
2159,14
9861,1
3775,2
3768,2
837,3
6976,13
6384,9
4524,5
6329,10
3902,10
3883,4
4984,5
9006,15
5210,7
8917,14
5856,15
2320,7
4569,7
8003,2
9492,8
3553,1
4535,10
4519,8
2577,6
942,15
8576,2
6465,1
7088,3
3062,15
575,2
8001,2
7365,10
2686,15
5287,2
5074,9
3315,10
4235,15
9411,2
5769,2
9012,1
5034,9
4130,15
7555,11
3705,9
3222,13
3674,5
6857,3
4802,13
3808,8
1749,4
540,1
5961,12
7383,1
9585,3
9437,14
6541,13
4733,11
6791,1
5112,4
4734,11
6950,1
9506,12
8192,8
4893,5
8996,11
632,7
530,2
4148,9
4439,8
7979,9
6593,7
8081,10
1197,2
3688,8
6315,10
3531,8
6804,8
4316,14
4948,10
7256,1
9406,15
1579,1
3642,4
2208,3
8861,3
6627,7
7131,13
9626,12
8180,14
1829,7
1298,12
9748,10
969,8
4174,8
6542,9
3624,7
3589,10
2705,12
5654,13
2970,8
6848,10
1381,2
7435,1
9976,9
5910,14
1119,15
2093,1
3357,7
6596,10
807,3
4522,2
1623,9
7345,2
5493,9
4112,13
3575,4
1942,1
1590,11
8450,2
2035,10
2405,4
74,12
4718,4
7743,1
1019,13
7935,15
9037,10
3542,11
2404,13
2483,13
5673,14
1455,7
7338,14
9209,6
2285,12
9027,5
8782,8
4066,5
8513,8
5936,12
5653,4
7216,14
4069,1
1941,7
9210,13
1160,14
395,15
6295,11
3031,1
847,6
7951,4
1770,5
1123,2
1103,12
7668,10
4058,9
1620,6
7059,12
5567,8
7340,5
2064,6
6640,9
8747,10
466,6
7632,5
1097,14
4879,14
4469,2
4815,7
3916,10
5139,15
4216,10
3704,10
5727,14
8460,12
5384,15
5368,13
5233,11
9718,5
4399,15
1303,3
4631,9
8246,9
3168,6
5978,2
5078,7
2685,9
1787,12
6874,6
3962,6
2522,8
2527,7
9979,10
7229,3
7256,14
3943,1
2146,11
359,9
8039,8
6164,15
2790,15
3314,7
7516,8
1428,10
697,15
2833,7
